x coord, y coord, z coord, scalar
1.87, 0, 0, 3.472375821
1.88, 0, 0, 3.472214252
1.89, 0, 0, 3.472052683
1.9, 0, 0, 3.431651286
1.91, 0, 0, 3.431489717
1.92, 0, 0, 3.431328148
1.93, 0, 0, 3.431166579
1.94, 0, 0, 3.43100501
1.95, 0, 0, 3.390603614
1.96, 0, 0, 3.390442045
1.97, 0, 0, 3.390280476
1.98, 0, 0, 3.390118907
1.99, 0, 0, 3.389957338
2, 0, 0, 3.349555941
2.01, 0, 0, 3.349394372
2.02, 0, 0, 3.349232803
2.03, 0, 0, 3.349071234
2.04, 0, 0, 3.348909665
2.05, 0, 0, 3.348748096
2.06, 0, 0, 3.308346699
2.07, 0, 0, 3.30818513
2.08, 0, 0, 3.308023561
2.09, 0, 0, 3.307861992
2.1, 0, 0, 3.267460596
2.11, 0, 0, 3.267299027
2.12, 0, 0, 3.267137458
2.13, 0, 0, 3.266975889
2.14, 0, 0, 3.26681432
2.15, 0, 0, 3.226412923
2.16, 0, 0, 3.226251354
2.17, 0, 0, 3.226089785
2.18, 0, 0, 3.225928216
2.19, 0, 0, 3.225766647
2.2, 0, 0, 3.225605078
2.21, 0, 0, 3.185203681
2.22, 0, 0, 3.185042112
2.23, 0, 0, 3.184880543
2.24, 0, 0, 3.184718974
2.25, 0, 0, 3.184557405
2.26, 0, 0, 3.144156008
2.27, 0, 0, 3.143994439
2.28, 0, 0, 3.14383287
2.29, 0, 0, 3.143671301
2.3, 0, 0, 3.103269905
2.31, 0, 0, 3.103108336
2.32, 0, 0, 3.102946767
2.33, 0, 0, 3.102785198
2.34, 0, 0, 3.102623629
2.35, 0, 0, 3.062222232
2.36, 0, 0, 3.062060663
2.37, 0, 0, 3.061899094
2.38, 0, 0, 3.061737525
2.39, 0, 0, 3.061575956
2.4, 0, 0, 3.021174559
2.41, 0, 0, 3.02101299
2.42, 0, 0, 3.020851421
2.43, 0, 0, 3.020689852
2.44, 0, 0, 3.020528283
2.45, 0, 0, 2.980126887
2.46, 0, 0, 2.979965318
2.47, 0, 0, 2.979803749
2.48, 0, 0, 2.97964218
2.49, 0, 0, 2.979480611
2.5, 0, 0, 2.979319042
2.51, 0, 0, 2.938917645
2.52, 0, 0, 2.938756076
2.53, 0, 0, 2.938594507
2.54, 0, 0, 2.938432938
2.55, 0, 0, 2.898031541
2.56, 0, 0, 2.897869972
2.57, 0, 0, 2.897708403
2.58, 0, 0, 2.897546834
2.59, 0, 0, 2.897385265
2.6, 0, 0, 2.856983869
2.61, 0, 0, 2.8568223
2.62, 0, 0, 2.856660731
2.63, 0, 0, 2.856499162
2.64, 0, 0, 2.856337593
2.65, 0, 0, 2.815936196
2.66, 0, 0, 2.815774627
2.67, 0, 0, 2.815613058
2.68, 0, 0, 2.815451489
2.69, 0, 0, 2.81528992
2.7, 0, 0, 2.774888523
2.71, 0, 0, 2.774726954
2.72, 0, 0, 2.774565385
2.73, 0, 0, 2.774403816
2.74, 0, 0, 2.774242247
2.75, 0, 0, 2.774080678
2.76, 0, 0, 2.733679282
2.77, 0, 0, 2.733517713
2.78, 0, 0, 2.733356144
2.79, 0, 0, 2.733194575
2.8, 0, 0, 2.692793178
2.81, 0, 0, 2.692631609
2.82, 0, 0, 2.69247004
2.83, 0, 0, 2.692308471
2.84, 0, 0, 2.692146902
2.85, 0, 0, 2.651745505
2.86, 0, 0, 2.651583936
2.87, 0, 0, 2.651422367
2.88, 0, 0, 2.651260798
2.89, 0, 0, 2.651099229
2.9, 0, 0, 2.610697833
2.91, 0, 0, 2.610536264
2.92, 0, 0, 2.610374695
2.93, 0, 0, 2.610213126
2.94, 0, 0, 2.610051557
2.95, 0, 0, 2.609889987
2.96, 0, 0, 2.56948859
2.97, 0, 0, 2.569327021
2.98, 0, 0, 2.569165452
2.99, 0, 0, 2.569003883
3, 0, 0, 2.568842314
3.01, 0, 0, 2.528440917
3.02, 0, 0, 2.528279348
3.03, 0, 0, 2.528117779
3.04, 0, 0, 2.52795621
3.05, 0, 0, 2.487554814
3.06, 0, 0, 2.487393245
3.07, 0, 0, 2.487231676
3.08, 0, 0, 2.487070107
3.09, 0, 0, 2.486908538
3.1, 0, 0, 2.446507141
3.11, 0, 0, 2.446345572
3.12, 0, 0, 2.446184003
3.13, 0, 0, 2.446022434
3.14, 0, 0, 2.445860865
3.15, 0, 0, 2.405459468
3.16, 0, 0, 2.405297899
3.17, 0, 0, 2.40513633
3.18, 0, 0, 2.404974761
3.19, 0, 0, 2.404813192
3.2, 0, 0, 2.364411796
3.21, 0, 0, 2.364250227
3.22, 0, 0, 2.364088658
3.23, 0, 0, 2.363927089
3.24, 0, 0, 2.36376552
3.25, 0, 0, 2.363603951
3.26, 0, 0, 2.323202554
3.27, 0, 0, 2.323040985
3.28, 0, 0, 2.322879416
3.29, 0, 0, 2.322717847
3.3, 0, 0, 2.28231645
3.31, 0, 0, 2.282154881
3.32, 0, 0, 2.281993312
3.33, 0, 0, 2.281831743
3.34, 0, 0, 2.281670174
3.35, 0, 0, 2.281508605
3.36, 0, 0, 2.241107209
3.37, 0, 0, 2.24094564
3.38, 0, 0, 2.240784071
3.39, 0, 0, 2.240622502
3.4, 0, 0, 2.200221105
3.41, 0, 0, 2.200059536
3.42, 0, 0, 2.199897967
3.43, 0, 0, 2.199736398
3.44, 0, 0, 2.199574829
3.45, 0, 0, 2.19941326
3.46, 0, 0, 2.159011863
3.47, 0, 0, 2.158850294
3.48, 0, 0, 2.158688725
3.49, 0, 0, 2.158527156
3.5, 0, 0, 2.158365587
3.51, 0, 0, 2.117964191
3.52, 0, 0, 2.117802622
3.53, 0, 0, 2.117641053
3.54, 0, 0, 2.117479484
3.55, 0, 0, 2.077078087
3.56, 0, 0, 2.076916518
3.57, 0, 0, 2.076754949
3.58, 0, 0, 2.07659338
3.59, 0, 0, 2.076431811
3.6, 0, 0, 2.036030414
3.61, 0, 0, 2.035868845
